xflr5 v6.39

 Calculated polar for: S1223

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   1.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-25.000,-0.4824, 0.28471, 0.28007,-0.0039,0.9881,0.0025,-1.3322, 0.0000, 0.2115
-24.500,-0.4698, 0.27882, 0.27419,-0.0066,0.9878,0.0025,-1.3326, 0.0000, 0.2057
-24.000,-0.4568, 0.27299, 0.26836,-0.0093,0.9874,0.0025,-1.3332, 0.0000, 0.1996
-23.500,-0.4436, 0.26721, 0.26259,-0.0120,0.9870,0.0024,-1.3337, 0.0000, 0.1931
-23.000,-0.4300, 0.26150, 0.25687,-0.0147,0.9866,0.0024,-1.3338, 0.0000, 0.1861
-22.500,-0.4161, 0.25587, 0.25124,-0.0173,0.9861,0.0024,-1.3330, 0.0000, 0.1786
-22.000,-0.4020, 0.25031, 0.24570,-0.0200,0.9856,0.0024,-1.3311, 0.0000, 0.1705
-21.500,-0.3875, 0.24485, 0.24025,-0.0226,0.9850,0.0024,-1.3279, 0.0000, 0.1618
-21.000,-0.3727, 0.23950, 0.23491,-0.0251,0.9845,0.0025,-1.3228, 0.0000, 0.1524
-20.500,-0.3573, 0.23417, 0.22960,-0.0278,0.9836,0.0025,-1.3147, 0.0000, 0.1416
-20.000,-0.3413, 0.22893, 0.22438,-0.0306,0.9827,0.0026,-1.3027, 0.0000, 0.1293
-19.000,-0.3106, 0.21737, 0.21281,-0.0360,0.9812,0.0045,-1.4315, 0.0000, 0.1015
-13.000,-0.1327, 0.15516, 0.15082,-0.0575,0.9515,0.0075,-1.4662, 0.0000,-0.2359
-12.500,-0.1216, 0.15045, 0.14615,-0.0573,0.9390,0.0073,-1.4491, 0.0000,-0.2759
-12.000,-0.1078, 0.14557, 0.14130,-0.0579,0.9251,0.0071,-1.4395, 0.0000,-0.3462
-11.500,-0.0901, 0.14023, 0.13598,-0.0597,0.9038,0.0070,-1.4337, 0.0000,-0.4811
-11.000, 0.1197, 0.11711, 0.11039,-0.1196,0.5353,0.0067,-1.3287, 0.0000, 1.3168
-10.500, 0.1379, 0.11278, 0.10580,-0.1211,0.4851,0.0066,-1.3355, 0.0000, 1.1850
-10.000, 0.1546, 0.10848, 0.10139,-0.1221,0.4595,0.0065,-1.3464, 0.0000, 1.0882
 -9.500, 0.1705, 0.10418, 0.09705,-0.1228,0.4473,0.0064,-1.3608, 0.0000, 1.0118
